No,Cakupan,Satuan,Fisik,Psikis,Seksual,Eksploitasi,TPPO,Penelantaran,Lainnya
1,ACEH,Orang,276,288,79,3,0,159,62
2,SUMATERA UTARA,Orang,366,173,124,1,2,75,44
3,SUMATERA BARAT,Orang,138,123,65,2,3,17,18
4,RIAU,Orang,112,119,68,8,0,27,25
5,JAMBI,Orang,104,80,64,0,8,21,16
6,SUMATERA SELATAN,Orang,110,72,37,0,1,11,18
7,BENGKULU,Orang,66,24,12,1,1,7,1
8,LAMPUNG,Orang,110,27,73,0,1,3,7
9,KEPULAUAN BANGKA BELITUNG,Orang,109,43,17,0,1,5,12
10,KEPULAUAN RIAU,Orang,79,38,25,1,51,9,5
11,DKI JAKARTA,Orang,562,524,200,6,23,41,5
12,JAWA BARAT,Orang,438,475,288,18,24,110,194
13,JAWA TENGAH,Orang,563,407,215,7,2,88,43
14,DI YOGYAKARTA,Orang,328,335,118,2,0,32,10
15,JAWA TIMUR,Orang,437,366,224,13,63,131,90
16,BANTEN,Orang,252,211,108,4,5,26,15
17,BALI,Orang,96,138,22,0,9,25,12
18,NUSA TENGGARA BARAT,Orang,155,94,88,4,11,24,41
19,NUSA TENGGARA TIMUR,Orang,274,308,123,18,0,67,11
20,KALIMANTAN BARAT,Orang,128,59,35,2,3,9,11
21,KALIMANTAN TENGAH,Orang,98,61,33,3,2,15,21
22,KALIMANTAN SELATAN,Orang,114,144,51,1,1,26,41
23,KALIMANTAN TIMUR,Orang,220,139,56,2,0,12,19
24,KALIMANTAN UTARA,Orang,99,30,20,0,8,10,5
25,SULAWESI UTARA,Orang,105,60,52,3,4,47,21
26,SULAWESI TENGAH,Orang,159,107,66,2,4,21,16
27,SULAWESI SELATAN,Orang,258,174,133,3,1,39,40
28,SULAWESI TENGGARA,Orang,86,27,35,0,0,8,15
29,GORONTALO,Orang,46,8,26,0,4,3,2
30,SULAWESI BARAT,Orang,51,13,18,1,0,4,7
31,MALUKU,Orang,80,47,35,1,6,24,8
32,MALUKU UTARA,Orang,85,27,38,0,1,20,33
33,PAPUA BARAT,Orang,37,39,10,0,0,12,12
34,PAPUA,Orang,18,38,14,0,1,17,21
35,PAPUA PEGUNUNGAN,Orang,46,6,2,0,0,0,1
36,PAPUA SELATAN,Orang,1,2,8,0,0,5,0
37,PAPUA TENGAH,Orang,49,34,21,0,0,22,4
38,PAPUA BARAT DAYA,Orang,38,23,9,0,0,13,13
39,INDONESIA,,6293,4883,2612,106,240,1185,919
